1,"Servicing relationship already exist","Relationship between the Agreement and book already exist in APAR."
1,"Servicing relationship already exist","Relationship between the Agreement and book already exist in APAR and no need to send further details."
1,"Servicing relationship already exist","Relationship between the Agreement and book already exist."
1,"Servicing relationship already exist","Agreement and book already exist in APAR."
5,"Servicing relationship doesnot exist","Servicing relationship doesn't exist in APAR for the AgreementIndexId and book."
5,"Servicing relationship doesnot exist","Servicing relationship doesn't exist in APAR."
5,"Servicing relationship doesnot exist","Servicing relationship doesn't exist in APAR and send the events in proper order."
5,"Servicing relationship doesnot exist","Servicing relationship doesn't exist in APAR for further processing."
5,"Servicing relationship already corrected","ReplacedPhysicalObjectId already corrected with the given POID in APAR."
5,"Servicing relationship already corrected","ReplacedPhysicalObjectId already corrected."
5,"Servicing relationship already corrected","ReplacedPhysicalObjectId already corrected with the given POID."
5,"Servicing relationship already corrected","ReplacedPhysicalObjectId already corrected with the given agreement."
1,"Unauthorized Exception","Service ID used for this request doesnot have access to APAR application."
1,"Unauthorized Exception","Service ID used for this request doesnot have access."
1,"Unauthorized Exception","APAR application."
4,"Data Chaining","Mash application didnt feed proper data."
4,"Data Chaining","Mash application."
4,"Data Chaining","Mash application didnt feed."
4,"Data Chaining","Mash didnt feed proper data."
4,"Data Chaining","application didnt feed proper data."
2,"Agent Not Found","Agent details are not available in SIP dashboard."
3,"RPX Data Not Found","Agency Intern having issue with RPX vendor website."
3,"RPX Data Not Found","Agency Intern having issue."
3,"RPX Data Not Found","Agency Intern having issue due to some site down."
3,"RPX Data Not Found","Agency having issue."
3,"RPX Data Not Found","Agent Team Member having issue to login and check the details."
